"mid","asid"
"4","2"
"6","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","1"
"17","2"
"18","2"
"20","2"
"21","2"
"27","2"
"28","1"
"32","2"
"35","2"
"37","2"
"40","2"
"42","2"
"22","2"
"45","2"
"46","2"
"47","2"
"49","1"
"48","2"
"50","2"
"52","2"
"51","2"
"55","2"
"56","2"
"57","2"
"58","3"
"58","3"
"65","1"
"64","2"
"66","1"
"67","4"
"68","4"
"69","2"
"70","2"
"71","1"
"72","2"
"73","2"
"74","1"
"76","1"
"79","2"
"82","3"
"88","2"
"90","1"
"91","2"
"93","2"
"94","1"
"96","2"
"97","3"
"99","1"
"100","3"
"101","2"
"104","2"
"105","1"
"108","2"
"107","1"
"109","1"
"110","3"
"111","2"
"112","2"
"113","1"
"116","3"
"115","2"
"118","2"
"117","2"
"119","1"
"120","2"
"121","2"
"122","2"
"123","1"
"124","2"
"125","4"
"128","2"
"127","4"
"133","2"
"136","4"
"135","1"
"134","2"
"141","3"
"140","2"
"139","2"
"138","4"
"142","2"
"146","2"
"145","1"
"148","2"
"151","2"
"153","2"
"154","2"
"157","2"
"156","3"
"155","2"
"158","2"
"160","2"
"159","3"
"166","4"
"164","3"
"163","2"
"162","2"
"168","2"
"171","1"
"172","2"
"173","3"
"174","1"
"175","3"
"178","2"
"180","2"
"182","2"
"181","2"
"184","2"
"186","2"
"183","3"
"185","2"
"187","2"
"189","2"
"190","2"
"191","2"
"193","2"
"194","2"
"196","2"
"197","3"
"199","2"
"200","2"
"201","2"
"201","2"
"204","2"
"203","2"
"205","3"
"207","3"
"209","1"
"208","2"
"210","2"
"211","2"
"212","3"
"213","3"
"214","3"
"215","2"
"216","3"
"220","2"
"222","2"
"223","2"
"225","3"
"226","3"
"224","2"
"228","2"
"229","2"
"227","2"
"230","2"
"233","2"
"231","2"
"232","2"
"234","2"
"237","2"
"240","2"
"239","2"
"241","2"
"238","2"
"245","2"
"246","2"
"248","2"
"250","4"
"249","2"
"251","2"
"252","2"
"253","1"
"254","1"
"255","2"
"256","2"
"257","2"
"259","2"
"263","2"
"265","2"
"267","2"
"264","3"
"266","2"
"269","2"
"270","2"
"272","2"
"273","3"
"274","3"
"276","2"
"1","1"
"85","3"
"38","2"
"114","1"
"167","2"
"147","2"
"161","3"
"75","2"
"143","2"
"3","1"
"87","3"
"80","2"
"29","3"
"33","3"
"34","3"
"36","2"
"39","3"
"43","3"
"54","3"
"59","4"
"77","1"
"81","4"
"86","1"
"16","2"
"25","3"
"26","3"
"23","1"
"24","1"
"61","2"
"83","2"
"41","1"
"95","4"
"2","1"
"31","2"
"98","2"
"132","2"
"5","3"
"19","3"
"15","3"
"53","2"
"7","3"
"188","2"
"152","2"
"137","1"
"149","2"
"206","2"
"217","2"
"62","2"
"106","2"
"242","2"
"258","2"
"177","2"
"102","2"
"30","3"
"192","2"
"103","1"
"60","2"
"221","1"
"243","2"
"247","3"
"14","2"
"129","2"
"169","2"
"281","1"
"282","2"
"283","3"
"284","3"
"285","2"
"286","2"
"287","2"
"288","2"
"289","2"
"290","2"
"291","2"
"292","2"
"165","2"
"144","2"
"44","2"
"176","2"
"179","2"
"293","2"
"260","3"
"275","2"
"195","2"
"268","2"
"84","3"
"219","2"
"236","2"
"8","1"
"63","2"
"131","3"
"279","1"
"130","1"
"92","2"
"218","2"
"262","1"
"261","2"
"271","3"
"235","2"
"244","2"
"89","2"
"170","2"
"78","2"
"126","1"
"294","2"
"295","3"
"296","1"
"198","2"
"150","2"
"297","0"
"298","1"
"299","2"
"303","2"
"301","2"
